日期,销量
2017-01-01,547.0
2017-01-02,536.0
2017-01-03,528.0
2017-01-04,559.0
2017-01-05,526.0
2017-01-06,537.0
2017-01-07,579.0
2017-01-08,572.0
2017-01-09,569.0
2017-01-10,551.0
2017-01-11,576.0
2017-01-12,581.0
2017-01-13,573.0
2017-01-14,582.0
2017-01-15,600.0
2017-01-16,612.0
2017-01-17,586.0
2017-01-18,592.0
2017-01-19,599.0
2017-01-20,621.0
2017-01-21,649.0
2017-01-22,631.0
2017-01-23,649.0
2017-01-24,659.0
2017-01-25,654.0
2017-01-26,633.0
2017-01-27,643.0
2017-01-28,658.0
2017-01-29,654.0
2017-01-30,694.0
2017-01-31,664.0
2017-02-01,696.0
2017-02-02,671.0
2017-02-03,689.0
2017-02-04,713.0
2017-02-05,690.0
2017-02-06,713.0
2017-02-07,691.0
2017-02-08,714.0
2017-02-09,727.0
2017-02-10,746.0
2017-02-11,726.0
2017-02-12,726.0
2017-02-13,735.0
2017-02-14,759.0
2017-02-15,737.0
2017-02-16,769.0
2017-02-17,753.0
2017-02-18,752.0
2017-02-19,775.0
2017-02-20,785.0
2017-02-21,779.0
2017-02-22,770.0
2017-02-23,776.0
2017-02-24,781.0
2017-02-25,817.0
2017-02-26,827.0
2017-02-27,830.0
2017-02-28,802.0
2017-03-01,830.0
2017-03-02,819.0
2017-03-03,857.0
2017-03-04,824.0
2017-03-05,826.0
2017-03-06,855.0
2017-03-07,848.0
2017-03-08,852.0
2017-03-09,887.0
2017-03-10,860.0
2017-03-11,883.0
2017-03-12,876.0
2017-03-13,900.0
2017-03-14,872.0
2017-03-15,889.0
2017-03-16,899.0
2017-03-17,905.0
2017-03-18,930.0
2017-03-19,900.0
2017-03-20,909.0
2017-03-21,922.0
2017-03-22,924.0
2017-03-23,924.0
2017-03-24,924.0
2017-03-25,930.0
2017-03-26,951.0
2017-03-27,949.0
2017-03-28,972.0
2017-03-29,970.0
2017-03-30,993.0
2017-03-31,967.0
2017-04-01,997.0
2017-04-02,989.0
2017-04-03,1013.0
2017-04-04,989.0
2017-04-05,1021.0
2017-04-06,1014.0
2017-04-07,1020.0
2017-04-08,997.0
2017-04-09,1037.0
2017-04-10,990.0
2017-04-11,896.0
2017-04-12,1062.0
2017-04-13,1120.0
2017-04-14,987.0
2017-04-15,874.0
2017-04-16,996.0
2017-04-17,886.0
2017-04-18,776.0
2017-04-19,995.0
2017-04-20,885.0
2017-04-21,774.0
2017-04-22,1042.0
2017-04-23,963.0
2017-04-24,1241.0
2017-04-25,1148.0
2017-04-26,1037.0
2017-04-27,1154.0
2017-04-28,1406.0
2017-04-29,1203.0
2017-04-30,1104.0
2017-05-01,1256.0
2017-05-02,1234.0
2017-05-03,1111.0
2017-05-04,1200.0
2017-05-05,1256.0
2017-05-06,1355.0
2017-05-07,1323.0
2017-05-08,1409.0
2017-05-09,1506.0
2017-05-10,1490.0
2017-05-11,1455.0
2017-05-12,1374.0
2017-05-13,1451.0
2017-05-14,1544.0
2017-05-15,1473.0
2017-05-16,1494.0
2017-05-17,1430.0
2017-05-18,1481.0
2017-05-19,1451.0
2017-05-20,1484.0
2017-05-21,1577.0
2017-05-22,1533.0
2017-05-23,1559.0
2017-05-24,1576.0
2017-05-25,1659.0
2017-05-26,1751.0
2017-05-27,1682.0
2017-05-28,1596.0
2017-05-29,1676.0
2017-05-30,1699.0
2017-05-31,1665.0
2017-06-01,1568.0
2017-06-02,1585.0
2017-06-03,1490.0
2017-06-04,1579.0
2017-06-05,1517.0
2017-06-06,1419.0
2017-06-07,1329.0
2017-06-08,1258.0
2017-06-09,1281.0
